gene	log2FC	padj	dataset
SLC7A8	-1.51919642108665	2.04287911219627e-10	NEW_GSE94335
NA	-1.16501396081126	2.26437251825826e-10	NEW_GSE94335
TARDBP	0.677399347575908	2.27064714880451e-10	NEW_GSE94335
AKAP12	1.01528476900461	2.36021279038117e-10	NEW_GSE94335
CAV2	-0.634732679230297	2.45045752408764e-10	NEW_GSE94335
NA	-1.11017198532688	2.64851270279656e-10	NEW_GSE94335
FAM196A	-4.16235752533109	2.74216391780669e-10	NEW_GSE94335
ROR1	-0.69285660500422	3.06757423945256e-10	NEW_GSE94335
PRSS23	0.718978905155935	3.20813298023972e-10	NEW_GSE94335
SLC7A6	-1.06059388602509	3.20813298023972e-10	NEW_GSE94335
RWDD4	-0.646377960876924	3.2817489940765e-10	NEW_GSE94335
PRICKLE2	-0.639184981876653	3.32466311826732e-10	NEW_GSE94335
CTNNAL1	0.808577870934112	3.57177026828492e-10	NEW_GSE94335
STARD13	-0.687916389397945	3.57177026828492e-10	NEW_GSE94335
QPCT	-1.34020908935891	3.6563704468898e-10	NEW_GSE94335
AKAP13	-1.06426554660206	3.70516168779242e-10	NEW_GSE94335
ATP8B1	1.06941145466258	3.99522519253364e-10	NEW_GSE94335
SLC7A8	-4.28598719290355	4.2810655341572e-10	NEW_GSE94335
NCOA7	-0.765852578728375	4.31186840239032e-10	NEW_GSE94335
PRRX1	0.940026979877585	4.32773610688624e-10	NEW_GSE94335
LTBP1	-0.693240512284528	4.4335165653097e-10	NEW_GSE94335
DRAM1	1.48976652742245	4.71516743920267e-10	NEW_GSE94335
ENC1	0.965968795713266	4.7603274917569e-10	NEW_GSE94335
TGFB2	0.954199036106667	4.7603274917569e-10	NEW_GSE94335
RCAN2	3.05149165984768	5.43717085066868e-10	NEW_GSE94335
GSN	-0.688372200120247	5.4805308096783e-10	NEW_GSE94335
FGD4	-0.870917777713096	5.65113540112858e-10	NEW_GSE94335
NA	-1.51969306080292	5.92024241140037e-10	NEW_GSE94335
